,name,country,discipline
92,Hiroshi SAITO,"JPN, ",Modern Pentathlon
93,Dmytro KIRPULIANSKYI,"UKR, ",Modern Pentathlon
94,Lars HALL,"SWE, ",Modern Pentathlon
95,Valentin PRADES,"FRA, ",Modern Pentathlon
96,Charles FERNANDEZ,"GUA, ",Modern Pentathlon
97,Dimitar KRASTANOV,"BUL, ",Modern Pentathlon
98,Franciszek KOPROWSKI,"POL, ",Modern Pentathlon
99,Duilio BRIGNETTI,"ITA, ",Modern Pentathlon
100,Zsigmond VILLANYI,"HUN, ",Modern Pentathlon
101,Arne TELLEFSEN,"NOR, ",Modern Pentathlon
102,Milan KADLEC,"TCH, ",Modern Pentathlon
103,Christian BEAUVALET,"FRA, ",Modern Pentathlon
104,Frigyes HEGEDÜS,"HUN, ",Modern Pentathlon
105,Carlo MASSULLO,"ITA, ",Modern Pentathlon
106,Fabio NEBULONI,"ITA, ",Modern Pentathlon
107,Gianluca TIBERTI,"ITA, ",Modern Pentathlon
108,Katarzyna WOJCIK,"POL, ",Modern Pentathlon
109,Dietloff KAPP,"GER, ",Modern Pentathlon
110,Barry KENNEDY,"CAN, ",Modern Pentathlon
111,Giovanni PERUGINI,"ITA, ",Modern Pentathlon
112,Roderick MARTIN,"SWE, ",Modern Pentathlon
113,Nicolo DELIGIA,"ITA, ",Modern Pentathlon
114,Bohumil STARNOVSKY,"TCH, ",Modern Pentathlon
115,Joel BOUZOU,"FRA, ",Modern Pentathlon
116,Eszter HORTOBAGYI,"AUS, ",Modern Pentathlon
117,Sebastien DELEIGNE,"FRA, ",Modern Pentathlon
118,Willi REMER,"GER, ",Modern Pentathlon
119,Marcelo HOYO,"MEX, ",Modern Pentathlon
120,Charles FERNANDEZ,"GUA, ",Modern Pentathlon
121,Dimitar KRASTANOV,"BUL, ",Modern Pentathlon
122,Franciszek KOPROWSKI,"POL, ",Modern Pentathlon
123,Duilio BRIGNETTI,"ITA, ",Modern Pentathlon
124,Zsigmond VILLANYI,"HUN, ",Modern Pentathlon
125,Arne TELLEFSEN,"NOR, ",Modern Pentathlon
126,Milan KADLEC,"TCH, ",Modern Pentathlon
127,Christian BEAUVALET,"FRA, ",Modern Pentathlon
128,Frigyes HEGEDÜS,"HUN, ",Modern Pentathlon
129,Carlo MASSULLO,"ITA, ",Modern Pentathlon
130,Fabio NEBULONI,"ITA, ",Modern Pentathlon
131,Gianluca TIBERTI,"ITA, ",Modern Pentathlon
